backend,allocation_index,assigned_rich_scene_ids,assigned_weak_scene_ids,observed_allocation,greater_than_or_equal_observed,statistic_mm,observed_statistic_mm,exact_one_sided_p,source_path,source_sha256
OPEN3D_POINT_TO_PLANE,11,"[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]",False,False,-0.0702525209217224,-0.0263477817580885,0.7,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,0feeefba4f0f2ab72954232036a822b1f7388b0375242ffab5d9495eddde6f2e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,12,"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]",False,True,-0.0263477817580885,-0.0263477817580885,0.7,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,0feeefba4f0f2ab72954232036a822b1f7388b0375242ffab5d9495eddde6f2e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,13,"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]",False,True,0.1131110985383,-0.0263477817580885,0.7,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,0feeefba4f0f2ab72954232036a822b1f7388b0375242ffab5d9495eddde6f2e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,14,"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]",False,False,-0.157015837702,-0.0263477817580885,0.7,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,0feeefba4f0f2ab72954232036a822b1f7388b0375242ffab5d9495eddde6f2e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,15,"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]",False,False,-0.0702525209217224,-0.0263477817580885,0.7,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,0feeefba4f0f2ab72954232036a822b1f7388b0375242ffab5d9495eddde6f2e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,16,"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]",False,True,-0.0263477817580885,-0.0263477817580885,0.7,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,0feeefba4f0f2ab72954232036a822b1f7388b0375242ffab5d9495eddde6f2e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,17,"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]",False,True,-0.0263477817580885,-0.0263477817580885,0.7,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,0feeefba4f0f2ab72954232036a822b1f7388b0375242ffab5d9495eddde6f2e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,18,"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]",False,True,0.1131110985383,-0.0263477817580885,0.7,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,0feeefba4f0f2ab72954232036a822b1f7388b0375242ffab5d9495eddde6f2e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,19,"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]","[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]",False,True,0.157015837702,-0.0263477817580885,0.7,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,0feeefba4f0f2ab72954232036a822b1f7388b0375242ffab5d9495eddde6f2e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,20,"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]","[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]",True,True,-0.0263477817580885,-0.0263477817580885,0.7,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/translation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,0feeefba4f0f2ab72954232036a822b1f7388b0375242ffab5d9495eddde6f2e;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
